roster_id,team,manager,player_id,player,position,nfl_team,age,status,dynasty_value,redraft_value,overall_rank,trend_30_day
4,Bub’s Club,bubberdubber,13287,Jeremiyah Love,RB,ARI,21.2,drafted,7358,4903,7,-21
4,Bub’s Club,bubberdubber,8155,Breece Hall,RB,NYJ,25.2,starter,3821,4006,38,-391
4,Bub’s Club,bubberdubber,7526,Jaylen Waddle,WR,DEN,27.8,starter,3087,3029,56,-75
4,Bub’s Club,bubberdubber,10859,Sam LaPorta,TE,DET,25.6,starter,2863,2021,66,255
4,Bub’s Club,bubberdubber,13330,Kenyon Sadiq,TE,NYJ,21.5,drafted,2193,154,84,21
4,Bub’s Club,bubberdubber,11583,Jonathon Brooks,RB,CAR,23.1,starter,2043,988,90,21
4,Bub’s Club,bubberdubber,13345,Jonah Coleman,RB,DEN,23.0,drafted,1980,164,94,184
4,Bub’s Club,bubberdubber,12501,Matthew Golden,WR,GB,23.1,starter,1956,511,97,21
4,Bub’s Club,bubberdubber,8142,Alec Pierce,WR,IND,26.3,IR,1921,1017,100,-274
4,Bub’s Club,bubberdubber,3163,Jared Goff,QB,DET,31.9,starter,1825,940,107,41
4,Bub’s Club,bubberdubber,13276,Omar Cooper,WR,NYJ,22.7,drafted,1775,109,110,-227
4,Bub’s Club,bubberdubber,12533,Jacory Croskey-Merritt,RB,WAS,25.4,starter,1754,791,112,219
4,Bub’s Club,bubberdubber,11624,Xavier Worthy,WR,KC,23.3,starter,1645,407,127,-150
4,Bub’s Club,bubberdubber,13301,Antonio Williams,WR,WAS,22.1,drafted,1449,0,146,-8
4,Bub’s Club,bubberdubber,5022,Dallas Goedert,TE,PHI,31.6,bench,1415,483,149,162
4,Bub’s Club,bubberdubber,11576,Braelon Allen,RB,NYJ,22.6,bench,1405,38,153,71
4,Bub’s Club,bubberdubber,9228,Bryce Young,QB,CAR,25.1,bench,1392,193,156,-39
4,Bub’s Club,bubberdubber,13296,Caleb Douglas,WR,MIA,23.0,drafted,1321,0,168,662
4,Bub’s Club,bubberdubber,12487,Terrance Ferguson,TE,LAR,23.5,taxi,1316,0,169,114
4,Bub’s Club,bubberdubber,12535,Isaac TeSlaa,WR,DET,24.5,bench,1235,33,179,106
4,Bub’s Club,bubberdubber,8172,Greg Dulcich,TE,MIA,26.4,bench,855,0,207,-134
4,Bub’s Club,bubberdubber,12457,Jaydon Blue,RB,DAL,22.6,starter,828,0,209,-140
4,Bub’s Club,bubberdubber,11565,J.J. McCarthy,QB,MIN,23.6,bench,707,0,230,-169
4,Bub’s Club,bubberdubber,4017,Deshaun Watson,QB,CLE,31.0,bench,629,0,238,-52
4,Bub’s Club,bubberdubber,11571,Isaiah Davis,RB,NYJ,24.5,bench,558,0,245,176
4,Bub’s Club,bubberdubber,13329,Malik Benson,WR,LV,23.9,drafted,449,0,261,191
4,Bub’s Club,bubberdubber,13420,Bryce Lance,WR,NO,24.0,drafted,425,0,265,-56
4,Bub’s Club,bubberdubber,9229,Anthony Richardson,QB,IND,24.3,bench,389,0,270,-114
4,Bub’s Club,bubberdubber,13303,Cade Klubnik,QB,NYJ,22.9,drafted,328,0,278,-29
4,Bub’s Club,bubberdubber,12543,Tahj Brooks,RB,CIN,24.3,bench,302,0,280,-129
4,Bub’s Club,bubberdubber,12482,Savion Williams,WR,GB,24.8,bench,70,0,348,-117
4,Bub’s Club,bubberdubber,DAL,Dallas Cowboys,DEF,DAL,,bench,0,0,,0
4,Bub’s Club,bubberdubber,8259,Cameron Dicker,K,LAC,26,starter,0,0,,0
4,Bub’s Club,bubberdubber,MIN,Minnesota Vikings,DEF,MIN,,bench,0,0,,0
4,Bub’s Club,bubberdubber,PIT,Pittsburgh Steelers,DEF,PIT,,starter,0,0,,0
5,My Nabers Tetties,DRockefeller,11632,Malik Nabers,WR,NYG,23.1,starter,6449,5135,12,-54
5,My Nabers Tetties,DRockefeller,12526,Tetairoa McMillan,WR,CAR,23.4,starter,4517,3729,25,-377
5,My Nabers Tetties,DRockefeller,6770,Joe Burrow,QB,CIN,29.7,starter,3550,3473,45,32
